




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (5242)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
biological_process (GO:0008150)	17851	4810	4543.58	+	1.06	2.41E-25	5.76E-23
cellular protein-containing complex assembly (GO:0034622)	867	414	220.68	+	1.88	2.67E-25	6.12E-23
protein transport (GO:0015031)	1300	559	330.89	+	1.69	2.65E-25	6.15E-23
ribosome biogenesis (GO:0042254)	329	215	83.74	+	2.57	3.21E-25	7.26E-23
regulation of metabolic process (GO:0019222)	6874	2151	1749.62	+	1.23	8.41E-25	1.87E-22
nitrogen compound transport (GO:0071705)	1708	684	434.73	+	1.57	2.21E-24	4.85E-22
regulation of primary metabolic process (GO:0080090)	5925	1891	1508.08	+	1.25	3.28E-24	7.09E-22
cell cycle (GO:0007049)	1316	558	334.96	+	1.67	3.64E-24	7.78E-22
catabolic process (GO:0009056)	2096	801	533.49	+	1.50	4.89E-24	1.03E-21
amide biosynthetic process (GO:0043604)	537	290	136.68	+	2.12	1.13E-23	2.35E-21
cellular macromolecule localization (GO:0070727)	1480	606	376.70	+	1.61	2.28E-23	4.68E-21
regulation of nitrogen compound metabolic process (GO:0051171)	5740	1833	1460.99	+	1.25	2.43E-23	4.93E-21
cellular response to DNA damage stimulus (GO:0006974)	793	379	201.84	+	1.88	3.85E-23	7.70E-21
regulation of macromolecule metabolic process (GO:0060255)	6340	1990	1613.71	+	1.23	8.78E-23	1.74E-20
cellular protein localization (GO:0034613)	1470	599	374.16	+	1.60	1.16E-22	2.27E-20
peptide metabolic process (GO:0006518)	544	288	138.46	+	2.08	1.52E-22	2.92E-20
organic substance catabolic process (GO:1901575)	1769	691	450.26	+	1.53	2.05E-22	3.91E-20
organonitrogen compound biosynthetic process (GO:1901566)	1379	567	350.99	+	1.62	4.24E-22	7.98E-20
protein localization to organelle (GO:0033365)	742	355	188.86	+	1.88	7.70E-22	1.43E-19
establishment of localization in cell (GO:0051649)	2335	858	594.32	+	1.44	8.56E-22	1.57E-19
rRNA processing (GO:0006364)	262	175	66.69	+	2.62	1.62E-21	2.94E-19
rRNA metabolic process (GO:0016072)	272	179	69.23	+	2.59	2.05E-21	3.69E-19
mRNA processing (GO:0006397)	486	262	123.70	+	2.12	2.12E-21	3.77E-19
posttranscriptional regulation of gene expression (GO:0010608)	581	295	147.88	+	1.99	4.32E-21	7.59E-19
intracellular protein transport (GO:0006886)	781	363	198.79	+	1.83	1.07E-20	1.86E-18
heterocycle biosynthetic process (GO:0018130)	1049	451	267.00	+	1.69	2.16E-20	3.70E-18
regulation of macromolecule biosynthetic process (GO:0010556)	3999	1324	1017.86	+	1.30	5.36E-20	9.11E-18
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3968	1314	1009.97	+	1.30	7.20E-20	1.21E-17
signaling (GO:0023052)	5565	1098	1416.45	-	.78	7.71E-20	1.28E-17
protein modification by small protein conjugation or removal (GO:0070647)	1035	443	263.44	+	1.68	8.03E-20	1.32E-17
DNA metabolic process (GO:0006259)	777	357	197.77	+	1.81	9.34E-20	1.52E-17
regulation of cellular biosynthetic process (GO:0031326)	4163	1367	1059.60	+	1.29	1.05E-19	1.69E-17
cellular amide metabolic process (GO:0043603)	820	371	208.71	+	1.78	1.21E-19	1.93E-17
regulation of biosynthetic process (GO:0009889)	4226	1384	1075.63	+	1.29	1.35E-19	2.13E-17
nucleobase-containing compound biosynthetic process (GO:0034654)	975	421	248.16	+	1.70	2.52E-19	3.95E-17
aromatic compound biosynthetic process (GO:0019438)	1060	447	269.80	+	1.66	5.70E-19	8.83E-17
regulation of cell cycle (GO:0051726)	1164	480	296.27	+	1.62	6.20E-19	9.51E-17
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4049	1327	1030.58	+	1.29	9.93E-19	1.51E-16
mitotic cell cycle (GO:0000278)	750	342	190.90	+	1.79	1.44E-18	2.14E-16
RNA splicing (GO:0008380)	409	222	104.10	+	2.13	1.44E-18	2.16E-16
chromatin organization (GO:0006325)	703	326	178.93	+	1.82	1.68E-18	2.48E-16
DNA repair (GO:0006281)	531	266	135.15	+	1.97	1.70E-18	2.48E-16
RNA catabolic process (GO:0006401)	248	159	63.12	+	2.52	1.93E-18	2.80E-16
protein catabolic process (GO:0030163)	697	323	177.41	+	1.82	2.48E-18	3.57E-16
cellular protein catabolic process (GO:0044257)	644	303	163.92	+	1.85	5.74E-18	8.18E-16
regulation of catabolic process (GO:0009894)	1066	443	271.33	+	1.63	6.49E-18	9.16E-16
cell communication (GO:0007154)	5656	1136	1439.61	-	.79	6.70E-18	9.38E-16
modification-dependent macromolecule catabolic process (GO:0043632)	563	274	143.30	+	1.91	8.05E-18	1.12E-15
nuclear-transcribed mRNA catabolic process (GO:0000956)	195	135	49.63	+	2.72	1.03E-17	1.42E-15
humoral immune response (GO:0006959)	386	22	98.25	-	.22	1.16E-17	1.58E-15
proteolysis involved in cellular protein catabolic process (GO:0051603)	609	289	155.01	+	1.86	1.54E-17	2.08E-15
mRNA catabolic process (GO:0006402)	215	142	54.72	+	2.59	2.19E-17	2.94E-15
RNA splicing, via transesterification reactions (GO:0000375)	306	178	77.89	+	2.29	2.49E-17	3.30E-15
cell cycle process (GO:0022402)	957	404	243.58	+	1.66	2.61E-17	3.44E-15
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	303	177	77.12	+	2.30	2.77E-17	3.58E-15
mRNA splicing, via spliceosome (GO:0000398)	303	177	77.12	+	2.30	2.77E-17	3.61E-15
regulation of gene expression (GO:0010468)	4922	1554	1252.79	+	1.24	2.88E-17	3.70E-15
ubiquitin-dependent protein catabolic process (GO:0006511)	545	265	138.72	+	1.91	3.51E-17	4.48E-15
organic substance transport (GO:0071702)	2079	749	529.16	+	1.42	3.71E-17	4.70E-15
regulation of translation (GO:0006417)	415	218	105.63	+	2.06	4.19E-17	5.25E-15
modification-dependent protein catabolic process (GO:0019941)	552	267	140.50	+	1.90	5.14E-17	6.39E-15
organic cyclic compound biosynthetic process (GO:1901362)	1196	478	304.42	+	1.57	6.13E-17	7.57E-15
establishment of protein localization to organelle (GO:0072594)	394	210	100.28	+	2.09	6.52E-17	7.99E-15
regulation of cellular amide metabolic process (GO:0034248)	479	240	121.92	+	1.97	8.66E-17	1.05E-14
regulation of cellular catabolic process (GO:0031329)	899	380	228.82	+	1.66	2.16E-16	2.60E-14
mitotic cell cycle process (GO:1903047)	675	306	171.81	+	1.78	2.42E-16	2.90E-14
defense response (GO:0006952)	1426	210	362.96	-	.58	5.34E-16	6.35E-14
protein targeting (GO:0006605)	322	178	81.96	+	2.17	9.77E-16	1.15E-13
nucleobase-containing compound catabolic process (GO:0034655)	373	197	94.94	+	2.08	1.19E-15	1.40E-13
protein modification by small protein conjugation (GO:0032446)	822	351	209.22	+	1.68	1.24E-15	1.44E-13
translational initiation (GO:0006413)	143	105	36.40	+	2.88	2.24E-15	2.58E-13
signal transduction (GO:0007165)	5227	1059	1330.42	-	.80	2.70E-15	3.09E-13
viral process (GO:0016032)	444	220	113.01	+	1.95	4.05E-15	4.61E-13
regulation of cell cycle process (GO:0010564)	792	338	201.59	+	1.68	4.51E-15	5.10E-13
mitochondrion organization (GO:0007005)	468	228	119.12	+	1.91	5.39E-15	6.05E-13
defense response to bacterium (GO:0042742)	350	22	89.08	-	.25	5.67E-15	6.31E-13
multicellular organismal process (GO:0032501)	6926	1470	1762.86	-	.83	7.97E-15	8.81E-13
RNA biosynthetic process (GO:0032774)	543	253	138.21	+	1.83	8.34E-15	9.16E-13
transcription, DNA-templated (GO:0006351)	530	248	134.90	+	1.84	1.20E-14	1.30E-12
ribonucleoprotein complex subunit organization (GO:0071826)	196	125	49.89	+	2.51	1.26E-14	1.36E-12
nucleic acid-templated transcription (GO:0097659)	531	248	135.15	+	1.83	1.28E-14	1.37E-12
viral gene expression (GO:0019080)	172	115	43.78	+	2.63	1.27E-14	1.37E-12
regulation of RNA metabolic process (GO:0051252)	3782	1214	962.62	+	1.26	1.29E-14	1.37E-12
positive regulation of nitrogen compound metabolic process (GO:0051173)	3123	1028	794.89	+	1.29	1.62E-14	1.71E-12
positive regulation of cellular metabolic process (GO:0031325)	3314	1082	843.51	+	1.28	1.74E-14	1.82E-12
regulation of mitotic cell cycle (GO:0007346)	588	266	149.66	+	1.78	2.42E-14	2.52E-12
cytoplasmic translation (GO:0002181)	122	92	31.05	+	2.96	3.83E-14	3.96E-12
immune response (GO:0006955)	2075	355	528.15	-	.67	4.53E-14	4.65E-12
establishment of protein localization to membrane (GO:0090150)	313	168	79.67	+	2.11	4.73E-14	4.83E-12
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	338	177	86.03	+	2.06	5.85E-14	5.92E-12
proteasomal protein catabolic process (GO:0010498)	361	185	91.88	+	2.01	6.17E-14	6.21E-12
ribonucleoprotein complex assembly (GO:0022618)	189	120	48.11	+	2.49	6.61E-14	6.61E-12
regulation of mitotic cell cycle phase transition (GO:1901990)	434	209	110.47	+	1.89	1.75E-13	1.74E-11
positive regulation of macromolecule metabolic process (GO:0010604)	3522	1130	896.45	+	1.26	1.88E-13	1.86E-11
cellular nitrogen compound catabolic process (GO:0044270)	423	205	107.67	+	1.90	1.93E-13	1.90E-11
heterocycle catabolic process (GO:0046700)	417	203	106.14	+	1.91	1.96E-13	1.91E-11
keratinization (GO:0031424)	227	9	57.78	-	.16	2.08E-13	2.02E-11
positive regulation of metabolic process (GO:0009893)	3820	1212	972.30	+	1.25	2.26E-13	2.16E-11
regulation of cell cycle phase transition (GO:1901987)	522	239	132.86	+	1.80	2.25E-13	2.17E-11
establishment of protein localization to endoplasmic reticulum (GO:0072599)	116	87	29.53	+	2.95	2.43E-13	2.30E-11
viral transcription (GO:0019083)	116	87	29.53	+	2.95	2.43E-13	2.31E-11
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	120	89	30.54	+	2.91	2.52E-13	2.37E-11
protein targeting to ER (GO:0045047)	112	85	28.51	+	2.98	3.52E-13	3.29E-11
protein ubiquitination (GO:0016567)	746	312	189.88	+	1.64	3.84E-13	3.57E-11
protein localization to endoplasmic reticulum (GO:0070972)	143	98	36.40	+	2.69	3.91E-13	3.61E-11
aromatic compound catabolic process (GO:0019439)	438	209	111.48	+	1.87	4.28E-13	3.93E-11
complement activation (GO:0006956)	177	4	45.05	-	.09	5.32E-13	4.86E-11
mitochondrial gene expression (GO:0140053)	142	97	36.14	+	2.68	5.88E-13	5.35E-11
biological adhesion (GO:0022610)	959	133	244.09	-	.54	8.64E-13	7.81E-11
peptidyl-lysine modification (GO:0018205)	305	160	77.63	+	2.06	9.85E-13	8.85E-11
regulation of mRNA metabolic process (GO:1903311)	376	185	95.70	+	1.93	1.03E-12	9.17E-11
cell adhesion (GO:0007155)	953	133	242.56	-	.55	1.35E-12	1.20E-10
regulation of protein metabolic process (GO:0051246)	2665	880	678.32	+	1.30	1.55E-12	1.37E-10
peptidyl-amino acid modification (GO:0018193)	886	353	225.51	+	1.57	1.73E-12	1.52E-10
negative regulation of metabolic process (GO:0009892)	3095	1000	787.76	+	1.27	1.93E-12	1.69E-10
organonitrogen compound catabolic process (GO:1901565)	1091	416	277.69	+	1.50	2.20E-12	1.91E-10
tRNA metabolic process (GO:0006399)	190	115	48.36	+	2.38	2.34E-12	2.03E-10
cotranslational protein targeting to membrane (GO:0006613)	101	77	25.71	+	3.00	3.34E-12	2.87E-10
regulation of cellular protein metabolic process (GO:0032268)	2501	828	636.57	+	1.30	5.57E-12	4.76E-10
organic cyclic compound catabolic process (GO:1901361)	466	213	118.61	+	1.80	6.27E-12	5.33E-10
response to bacterium (GO:0009617)	721	92	183.51	-	.50	6.67E-12	5.61E-10
protein targeting to membrane (GO:0006612)	182	110	46.32	+	2.37	6.64E-12	5.62E-10
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	165	4	42.00	-	.10	6.74E-12	5.64E-10
negative regulation of macromolecule metabolic process (GO:0010605)	2880	934	733.04	+	1.27	7.13E-12	5.93E-10
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	96	74	24.43	+	3.03	7.71E-12	6.38E-10
cell division (GO:0051301)	498	222	126.75	+	1.75	1.29E-11	1.06E-09
complement activation, classical pathway (GO:0006958)	161	4	40.98	-	.10	1.57E-11	1.28E-09
defense response to other organism (GO:0098542)	1038	156	264.20	-	.59	3.53E-11	2.88E-09
translational elongation (GO:0006414)	127	85	32.33	+	2.63	4.17E-11	3.38E-09
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	301	151	76.61	+	1.97	5.26E-11	4.24E-09
protein-DNA complex subunit organization (GO:0071824)	296	148	75.34	+	1.96	8.38E-11	6.73E-09
negative regulation of gene expression (GO:0010629)	999	375	254.27	+	1.47	1.57E-10	1.25E-08
negative regulation of cell cycle (GO:0045786)	454	201	115.56	+	1.74	1.70E-10	1.35E-08
localization within membrane (GO:0051668)	615	254	156.53	+	1.62	1.75E-10	1.38E-08
organelle assembly (GO:0070925)	796	311	202.60	+	1.54	2.48E-10	1.95E-08
proteolysis (GO:0006508)	1306	466	332.41	+	1.40	2.62E-10	2.05E-08
protein-containing complex disassembly (GO:0032984)	228	121	58.03	+	2.09	2.85E-10	2.22E-08
macromolecule methylation (GO:0043414)	257	132	65.41	+	2.02	2.95E-10	2.29E-08
nuclear transport (GO:0051169)	264	134	67.20	+	1.99	3.24E-10	2.50E-08
negative regulation of cellular metabolic process (GO:0031324)	2613	841	665.08	+	1.26	3.92E-10	3.01E-08
transcription by RNA polymerase II (GO:0006366)	382	175	97.23	+	1.80	4.71E-10	3.59E-08
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1941	649	494.04	+	1.31	5.09E-10	3.87E-08
negative regulation of inflammatory response to antigenic stimulus (GO:0002862)	208	12	52.94	-	.23	6.27E-10	4.75E-08
mitochondrial translation (GO:0032543)	112	75	28.51	+	2.63	6.41E-10	4.82E-08
protein localization to membrane (GO:0072657)	542	227	137.95	+	1.65	6.51E-10	4.88E-08
histone modification (GO:0016570)	363	167	92.39	+	1.81	7.38E-10	5.51E-08
nucleocytoplasmic transport (GO:0006913)	261	131	66.43	+	1.97	8.47E-10	6.29E-08
regulation of inflammatory response to antigenic stimulus (GO:0002861)	222	14	56.51	-	.25	8.57E-10	6.33E-08
covalent chromatin modification (GO:0016569)	367	168	93.41	+	1.80	8.84E-10	6.50E-08
inflammatory response (GO:0006954)	498	59	126.75	-	.47	9.46E-10	6.92E-08
regulation of cellular response to stress (GO:0080135)	692	274	176.13	+	1.56	1.05E-09	7.65E-08
innate immune response (GO:0045087)	848	126	215.84	-	.58	1.23E-09	8.93E-08
negative regulation of cell cycle process (GO:0010948)	368	168	93.67	+	1.79	1.26E-09	9.07E-08
methylation (GO:0032259)	313	149	79.67	+	1.87	1.29E-09	9.25E-08
nuclear export (GO:0051168)	166	95	42.25	+	2.25	1.43E-09	1.02E-07
DNA replication (GO:0006260)	273	134	69.49	+	1.93	1.72E-09	1.22E-07
negative regulation of nitrogen compound metabolic process (GO:0051172)	2453	787	624.36	+	1.26	2.87E-09	2.03E-07
regulation of nucleic acid-templated transcription (GO:1903506)	3475	1070	884.48	+	1.21	3.29E-09	2.32E-07
tRNA processing (GO:0008033)	134	81	34.11	+	2.37	3.67E-09	2.58E-07
regulation of transcription, DNA-templated (GO:0006355)	3474	1069	884.23	+	1.21	3.70E-09	2.59E-07
negative regulation of mitotic cell cycle (GO:0045930)	294	140	74.83	+	1.87	3.79E-09	2.63E-07
negative regulation of cell cycle phase transition (GO:1901988)	294	140	74.83	+	1.87	3.79E-09	2.64E-07
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	167	8	42.51	-	.19	3.89E-09	2.68E-07
regulation of inflammatory response (GO:0050727)	518	65	131.85	-	.49	4.29E-09	2.94E-07
regulation of RNA biosynthetic process (GO:2001141)	3480	1070	885.76	+	1.21	4.27E-09	2.94E-07
protein polyubiquitination (GO:0000209)	325	150	82.72	+	1.81	4.66E-09	3.17E-07
regulation of RNA stability (GO:0043487)	253	125	64.40	+	1.94	4.68E-09	3.18E-07
RNA localization (GO:0006403)	212	110	53.96	+	2.04	4.87E-09	3.27E-07
mitotic nuclear division (GO:0140014)	201	106	51.16	+	2.07	4.86E-09	3.28E-07
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	258	21	65.67	-	.32	5.15E-09	3.45E-07
RNA modification (GO:0009451)	172	95	43.78	+	2.17	5.82E-09	3.85E-07
response to other organism (GO:0051707)	1425	250	362.70	-	.69	5.81E-09	3.86E-07
response to external biotic stimulus (GO:0043207)	1426	250	362.96	-	.69	5.81E-09	3.87E-07
positive regulation of macromolecule biosynthetic process (GO:0010557)	1863	616	474.19	+	1.30	6.20E-09	4.08E-07
regulation of mRNA catabolic process (GO:0061013)	252	124	64.14	+	1.93	6.39E-09	4.19E-07
DNA conformation change (GO:0071103)	312	145	79.41	+	1.83	6.64E-09	4.34E-07
regulation of organelle organization (GO:0033043)	1208	425	307.47	+	1.38	6.78E-09	4.41E-07
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	222	16	56.51	-	.28	8.31E-09	5.36E-07
RNA 3'-end processing (GO:0031123)	142	83	36.14	+	2.30	8.29E-09	5.37E-07
negative regulation of mitotic cell cycle phase transition (GO:1901991)	240	119	61.09	+	1.95	9.36E-09	6.02E-07
regulation of mRNA stability (GO:0043488)	241	119	61.34	+	1.94	1.03E-08	6.56E-07
protein-DNA complex assembly (GO:0065004)	256	124	65.16	+	1.90	1.19E-08	7.58E-07
regulation of DNA metabolic process (GO:0051052)	372	164	94.68	+	1.73	1.32E-08	8.35E-07
negative regulation of inflammatory response (GO:0050728)	320	32	81.45	-	.39	1.48E-08	9.38E-07
mitochondrial translational elongation (GO:0070125)	88	60	22.40	+	2.68	1.54E-08	9.68E-07
protein modification by small protein removal (GO:0070646)	295	137	75.09	+	1.82	1.60E-08	1.00E-06
positive regulation of cellular biosynthetic process (GO:0031328)	1969	642	501.17	+	1.28	1.83E-08	1.14E-06
ribonucleoprotein complex localization (GO:0071166)	127	76	32.33	+	2.35	1.84E-08	1.14E-06
phagocytosis, recognition (GO:0006910)	106	2	26.98	-	.07	2.07E-08	1.28E-06
negative regulation of macromolecule biosynthetic process (GO:0010558)	1551	521	394.77	+	1.32	2.26E-08	1.39E-06
regulation of chromosome organization (GO:0033044)	290	135	73.81	+	1.83	2.37E-08	1.46E-06
regulation of signal transduction by p53 class mediator (GO:1901796)	201	103	51.16	+	2.01	2.41E-08	1.48E-06
ribonucleoprotein complex export from nucleus (GO:0071426)	126	75	32.07	+	2.34	2.65E-08	1.61E-06
response to external stimulus (GO:0009605)	2525	500	642.68	-	.78	2.65E-08	1.61E-06
negative regulation of biosynthetic process (GO:0009890)	1643	546	418.19	+	1.31	3.12E-08	1.89E-06
negative regulation of response to external stimulus (GO:0032102)	559	76	142.28	-	.53	3.27E-08	1.97E-06
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1540	516	391.97	+	1.32	3.32E-08	2.00E-06
ribosomal large subunit biogenesis (GO:0042273)	72	52	18.33	+	2.84	3.59E-08	2.15E-06
negative regulation of cellular biosynthetic process (GO:0031327)	1610	536	409.79	+	1.31	3.76E-08	2.24E-06
positive regulation of biosynthetic process (GO:0009891)	2004	648	510.07	+	1.27	4.11E-08	2.44E-06
spindle organization (GO:0007051)	224	110	57.01	+	1.93	4.77E-08	2.82E-06
mitochondrial translational termination (GO:0070126)	89	59	22.65	+	2.60	4.77E-08	2.82E-06
regulation of ion transport (GO:0043269)	703	105	178.93	-	.59	5.19E-08	3.05E-06
translational termination (GO:0006415)	97	62	24.69	+	2.51	5.24E-08	3.07E-06
cell-cell adhesion (GO:0098609)	515	69	131.08	-	.53	5.40E-08	3.15E-06
ncRNA transcription (GO:0098781)	94	61	23.93	+	2.55	5.44E-08	3.16E-06
B cell receptor signaling pathway (GO:0050853)	129	5	32.83	-	.15	5.76E-08	3.34E-06
Golgi vesicle transport (GO:0048193)	398	169	101.30	+	1.67	6.03E-08	3.48E-06
cell recognition (GO:0008037)	241	21	61.34	-	.34	6.86E-08	3.94E-06
negative regulation of immune system process (GO:0002683)	597	85	151.95	-	.56	7.39E-08	4.23E-06
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1528	509	388.92	+	1.31	7.70E-08	4.39E-06
microtubule-based process (GO:0007017)	806	296	205.15	+	1.44	7.78E-08	4.43E-06
cell surface receptor signaling pathway (GO:0007166)	2495	498	635.05	-	.78	7.84E-08	4.44E-06
